year,doy,tmit,nied,color
1961,0,0.0,0,gray
1962,0,0.0,0,gray
1963,0,0.0,0,gray
1964,0,0.0,0,gray
1965,0,0.0,0,gray
1966,0,0.0,0,gray
1967,0,0.0,0,gray
1968,0,0.0,0,gray
1969,0,0.0,0,gray
1970,0,0.0,0,gray
1971,0,0.0,0,gray
1972,0,0.0,0,gray
1973,0,0.0,0,gray
1974,0,0.0,0,gray
1975,0,0.0,0,gray
1976,0,0.0,0,gray
1977,0,0.0,0,gray
1978,0,0.0,0,gray
1979,0,0.0,0,gray
1980,0,0.0,0,gray
1981,0,0.0,0,gray
1982,0,0.0,0,gray
1983,0,0.0,0,gray
1984,0,0.0,0,gray
1985,0,0.0,0,gray
1986,0,0.0,0,gray
1987,0,0.0,0,gray
1988,0,0.0,0,gray
1989,0,0.0,0,gray
1990,0,0.0,0,gray
1991,0,0.0,0,gray
1992,0,0.0,0,gray
1993,0,0.0,0,gray
1994,0,0.0,0,gray
1995,0,0.0,0,gray
1996,0,0.0,0,gray
1997,0,0.0,0,gray
1998,0,0.0,0,gray
1999,0,0.0,0,gray
2000,0,0.0,0,gray
2001,0,0.0,0,gray
2002,0,0.0,0,gray
2003,0,0.0,0,gray
2004,0,0.0,0,gray
2005,0,0.0,0,gray
2006,0,0.0,0,gray
2007,0,0.0,0,gray
2008,0,0.0,0,gray
2009,0,0.0,0,gray
2010,0,0.0,0,gray
2011,0,0.0,0,gray
2012,0,0.0,0,gray
2013,0,0.0,0,gray
2014,0,0.0,0,gray
2015,0,0.0,0,gray
2016,0,0.0,0,gray
2017,0,0.0,0,gray
2018,0,0.0,0,gray
2019,0,0.0,0,gray
2020,0,0.0,0,gray
2021,0,0.0,0,gray
2022,0,0.0,0,gray
2023,0,0.0,0,gray
2024,0,0.0,0,gray
2024,1,6.0,1,black
2024,2,10.8,13,black
2024,3,19.7,13,black
2024,4,23.4,14,black
2024,5,23.7,18,black
2024,6,23.4,18,black
2024,7,21.1,18,black
2024,8,13.7,18,black
2024,9,5.1,18,black
2024,10,-1.9,18,black
2024,11,-6.4,18,black
2024,12,-6.9,18,black
2024,13,-5.3,20,black
2024,14,-3.3,20,black
2024,15,-2.4,24,black
2024,16,-3.6,24,black
2024,17,-6.4,25,black
2024,18,-9.2,25,black
2024,19,-10.8,25,black
2024,20,-11.1,25,black
2024,21,-11.7,25,black
2024,22,-5.6,27,black
2024,23,-0.2,31,black
2024,24,8.3,33,black
2024,25,14.9,33,black
2024,26,19.8,36,black
2024,27,24.0,36,black
2024,28,26.4,36,black
2024,29,30.8,36,black
2024,30,36.0,36,black
2024,31,41.4,37,black
2024,32,47.1,37,black
2024,33,53.1,37,black
2024,34,62.2,46,black
2024,35,69.1,57,black
2024,36,78.6,58,black
2024,37,88.5,68,black
