date,tx00,tx01,tx25,tx30,tx99,pr30,pr99
1961-01-01,20.0,-7.6,33.0,7.0,30.9,0.0,22.6
1962-01-01,31.0,-6.3,17.0,2.0,29.0,1.0,16.2
1963-01-01,67.0,-9.7,51.0,10.0,33.6,0.0,17.6
1964-01-01,32.0,-6.3,45.0,15.0,33.1,2.0,13.9
1965-01-01,25.0,-4.2,20.0,0.0,28.0,0.0,15.1
1966-01-01,35.0,-5.8,39.0,8.0,30.3,0.0,19.4
1967-01-01,11.0,-3.9,36.0,2.0,29.7,0.0,19.1
1968-01-01,31.0,-5.0,47.0,10.0,31.7,1.0,16.3
1969-01-01,54.0,-8.8,51.0,18.0,32.1,1.0,16.9
1970-01-01,43.0,-6.8,51.0,5.0,31.1,0.0,13.6
1971-01-01,19.0,-7.2,50.0,16.0,33.2,0.0,16.1
1972-01-01,23.0,-6.5,34.0,9.0,32.4,1.0,14.9
1973-01-01,13.0,-2.2,48.0,13.0,31.7,0.0,11.6
1974-01-01,2.0,0.6,19.0,5.0,30.8,1.0,18.6
1975-01-01,8.0,-1.5,54.0,18.0,32.7,1.0,12.9
1976-01-01,27.0,-5.1,54.0,16.0,32.9,0.0,12.1
1977-01-01,11.0,-1.5,24.0,3.0,29.5,2.0,16.6
1978-01-01,30.0,-4.5,32.0,7.0,30.9,1.0,15.3
1979-01-01,35.0,-7.9,36.0,7.0,31.1,0.0,14.4
1980-01-01,33.0,-6.1,27.0,2.0,27.8,1.0,20.3
1981-01-01,32.0,-6.7,35.0,4.0,29.9,2.0,18.4
1982-01-01,24.0,-5.9,60.0,14.0,32.2,0.0,12.2
1983-01-01,18.0,-3.0,57.0,16.0,32.3,1.0,18.3
1984-01-01,18.0,-2.5,25.0,4.0,29.9,0.0,15.9
1985-01-01,48.0,-8.5,38.0,5.0,30.5,0.0,9.9
1986-01-01,41.0,-6.1,47.0,11.0,31.8,2.0,17.7
1987-01-01,43.0,-10.4,22.0,3.0,29.3,0.0,16.8
1988-01-01,7.0,-1.1,34.0,4.0,29.8,0.0,11.4
1989-01-01,10.0,-1.7,57.0,11.0,31.4,0.0,13.6
1990-01-01,9.0,-1.2,36.0,8.0,30.9,2.0,23.5
1991-01-01,21.0,-4.4,37.0,7.0,30.7,1.0,14.8
1992-01-01,16.0,-3.6,67.0,14.0,33.5,0.0,15.4
1993-01-01,24.0,-5.6,35.0,2.0,28.3,1.0,16.9
1994-01-01,11.0,-1.5,42.0,20.0,34.7,5.0,31.2
1995-01-01,24.0,-6.0,58.0,19.0,32.4,1.0,14.7
1996-01-01,52.0,-8.9,30.0,6.0,30.1,0.0,14.3
1997-01-01,18.0,-5.7,62.0,11.0,31.9,1.0,17.0
1998-01-01,22.0,-4.6,28.0,10.0,31.9,1.0,14.0
1999-01-01,11.0,-0.6,54.0,12.0,31.0,0.0,11.3
2000-01-01,13.0,-1.5,48.0,11.0,32.7,1.0,18.6
2001-01-01,17.0,-3.7,37.0,10.0,31.8,0.0,13.7
2002-01-01,25.0,-4.7,56.0,7.0,32.6,2.0,23.3
2003-01-01,19.0,-4.3,68.0,25.0,33.2,0.0,13.7
2004-01-01,15.0,-3.5,34.0,6.0,30.5,0.0,14.2
2005-01-01,16.0,-1.9,48.0,9.0,31.2,1.0,16.7
2006-01-01,24.0,-3.9,68.0,20.0,33.2,1.0,13.5
2007-01-01,9.0,-1.0,48.0,12.0,31.3,2.0,22.3
2008-01-01,6.0,-1.1,47.0,16.0,33.0,0.0,16.3
2009-01-01,29.0,-5.9,51.0,6.0,31.3,0.0,14.8
2010-01-01,60.0,-7.6,49.0,18.0,34.9,2.0,16.8
2011-01-01,15.0,-3.3,47.0,7.0,31.1,1.0,20.4
2012-01-01,29.0,-6.7,38.0,10.0,31.7,1.0,14.7
2013-01-01,27.0,-4.4,50.0,13.0,33.6,2.0,19.2
2014-01-01,19.0,-4.1,45.0,15.0,31.9,1.0,17.3
2015-01-01,2.0,0.7,49.0,23.0,34.9,1.0,16.2
2016-01-01,13.0,-4.2,67.0,15.0,32.6,0.0,14.8
2017-01-01,16.0,-2.2,42.0,6.0,30.9,3.0,20.9
2018-01-01,8.0,-2.5,96.0,33.0,34.8,1.0,14.7
2019-01-01,5.0,-0.9,66.0,28.0,34.6,1.0,17.0
2020-01-01,0.0,1.3,57.0,20.0,33.6,0.0,17.1
2021-01-01,17.0,-3.9,54.0,11.0,32.8,2.0,20.0
2022-01-01,13.0,-3.0,69.0,21.0,35.7,1.0,11.9
2023-01-01,8.0,-0.8,70.0,15.0,31.9,1.0,15.8
2024-01-01,9.0,-1.2,78.0,22.0,33.2,1.0,22.3
